scenario,month,sites,monthly_revenue,annual_profit,profit_margin,revenue_per_site
conservative_automation,1,5,1000.0,7850.0,0.6541666666666667,1000.0
conservative_automation,3,15,3000.0,28800.0,0.8,1000.0
conservative_automation,6,25,5000.0,48000.0,0.8,1000.0
conservative_automation,12,40,8000.0,76800.0,0.8,1000.0
moderate_automation,1,10,3000.0,27700.0,0.7694444444444445,1200.0
moderate_automation,3,25,7500.0,78000.0,0.8666666666666667,1200.0
moderate_automation,6,50,15000.0,156000.0,0.8666666666666667,1200.0
moderate_automation,12,75,22500.0,234000.0,0.8666666666666667,1200.0
aggressive_automation,1,15,6750.0,68550.0,0.8462962962962963,1500.0
aggressive_automation,3,40,18000.0,196800.0,0.9111111111111111,1500.0
aggressive_automation,6,75,33750.0,369000.0,0.9111111111111111,1500.0
aggressive_automation,12,120,54000.0,590400.0,0.9111111111111111,1500.0
