Date,Clicks,Impressions,CTR,Position
2025-09-02,1,207,0.48%,52.05
2025-09-01,4,324,1.23%,54.73
2025-08-31,1,341,0.29%,59.29
2025-08-30,2,245,0.82%,64.13
2025-08-29,3,112,2.68%,48.06
2025-08-28,0,71,0%,33.56
2025-08-27,2,25,8%,25.84
2025-08-26,0,38,0%,24.82
2025-08-25,0,15,0%,40
2025-08-24,3,29,10.34%,31
2025-08-23,0,20,0%,35.6
2025-08-22,0,28,0%,35
2025-08-21,2,31,6.45%,32.42
2025-08-20,1,29,3.45%,33.86
2025-08-19,0,22,0%,37.95
2025-08-18,1,27,3.7%,35.7
2025-08-17,1,23,4.35%,46
2025-08-16,1,23,4.35%,49.39
2025-08-15,0,29,0%,30
2025-08-14,1,29,3.45%,40.55
2025-08-13,0,23,0%,39.96
2025-08-12,0,29,0%,39.66
2025-08-11,0,34,0%,48.12
2025-08-10,1,41,2.44%,35.54
2025-08-09,1,21,4.76%,42.86
2025-08-08,0,41,0%,33.59
2025-08-07,2,32,6.25%,32.81
2025-08-06,2,33,6.06%,41.06
2025-08-05,1,32,3.12%,32.06
2025-08-04,1,45,2.22%,37.78
2025-08-03,2,39,5.13%,36.9
2025-08-02,0,29,0%,37.83
2025-08-01,0,41,0%,32.71
2025-07-31,1,36,2.78%,37.31
2025-07-30,0,45,0%,36.6
2025-07-29,1,47,2.13%,27.96
2025-07-28,0,84,0%,48.51
2025-07-27,0,33,0%,38.36
2025-07-26,1,37,2.7%,27.08
2025-07-25,0,32,0%,27.78
2025-07-24,0,41,0%,42.34
2025-07-23,0,38,0%,41.45
2025-07-22,0,48,0%,42.6
2025-07-21,0,51,0%,51.1
2025-07-20,0,39,0%,53.13
2025-07-19,0,31,0%,40.68
2025-07-18,0,37,0%,36.32
2025-07-17,2,39,5.13%,37
2025-07-16,2,91,2.2%,59.38
2025-07-15,0,46,0%,39.15
2025-07-14,0,42,0%,35.62
2025-07-13,0,37,0%,38.05
2025-07-12,0,43,0%,38.3
2025-07-11,0,34,0%,43.76
2025-07-10,1,41,2.44%,37.95
2025-07-09,0,41,0%,48.34
2025-07-08,1,60,1.67%,51.22
2025-07-07,1,58,1.72%,38.66
2025-07-06,0,39,0%,40.08
2025-07-05,0,29,0%,35.86
2025-07-04,0,32,0%,43.53
2025-07-03,2,47,4.26%,29.04
2025-07-02,1,53,1.89%,20.23
2025-07-01,0,41,0%,36.88
2025-06-30,1,47,2.13%,44.28
2025-06-29,1,44,2.27%,55
2025-06-28,0,47,0%,35.81
2025-06-27,2,32,6.25%,38.47
2025-06-26,1,58,1.72%,35.57
2025-06-25,3,43,6.98%,19.67
2025-06-24,1,42,2.38%,33.64
2025-06-23,1,45,2.22%,32.71
2025-06-22,1,35,2.86%,44.66
2025-06-21,0,27,0%,26
2025-06-20,0,38,0%,32.84
2025-06-19,1,64,1.56%,39.92
2025-06-18,1,48,2.08%,32.02
2025-06-17,2,32,6.25%,32.72
2025-06-16,0,39,0%,23.05
2025-06-15,0,20,0%,28.05
2025-06-14,1,22,4.55%,19.82
2025-06-13,0,29,0%,28.72
2025-06-12,1,38,2.63%,20.76
2025-06-11,1,31,3.23%,22.03
2025-06-10,4,47,8.51%,22.38
2025-06-09,0,49,0%,20.88
2025-06-08,0,29,0%,26.86
2025-06-07,1,25,4%,24.24
2025-06-06,1,44,2.27%,29.93
2025-06-05,1,27,3.7%,28.63
2025-06-04,0,54,0%,17.85
2025-06-03,0,26,0%,22.12
