Country,Clicks,Impressions,CTR,Position
Canada,61,2732,2.23%,43.67
United States,3,874,0.34%,35.37
India,1,68,1.47%,20.34
Philippines,1,30,3.33%,30.9
Australia,1,30,3.33%,41.8
Pakistan,1,14,7.14%,24.5
New Zealand,1,10,10%,22.9
United Arab Emirates,1,8,12.5%,31.88
Romania,1,6,16.67%,4.67
United Kingdom,0,207,0%,64.45
Brazil,0,120,0%,48.28
Germany,0,36,0%,32.81
Vietnam,0,28,0%,61.11
South Korea,0,21,0%,37.57
Russia,0,18,0%,61.33
Spain,0,15,0%,35.07
Nepal,0,13,0%,8.54
Saudi Arabia,0,13,0%,18.54
Mexico,0,13,0%,36.23
Taiwan,0,12,0%,11.5
Turkey,0,12,0%,34.58
Argentina,0,12,0%,44.17
Italy,0,11,0%,26.55
South Africa,0,11,0%,48
Japan,0,10,0%,28.9
Thailand,0,10,0%,41.7
Nigeria,0,9,0%,16.44
Poland,0,9,0%,25.67
France,0,9,0%,32
Ecuador,0,9,0%,35.89
Malaysia,0,8,0%,22.12
Egypt,0,8,0%,26.75
Indonesia,0,8,0%,30.5
Peru,0,8,0%,38.5
Ireland,0,7,0%,56.14
Netherlands,0,6,0%,16.5
Colombia,0,6,0%,42.67
Ukraine,0,6,0%,62.17
Norway,0,5,0%,22.8
Bangladesh,0,5,0%,27.4
Singapore,0,5,0%,32.2
Switzerland,0,5,0%,33.4
Dominican Republic,0,5,0%,44.8
Greece,0,5,0%,49.2
Hong Kong,0,4,0%,8.5
Georgia,0,4,0%,18.75
Sweden,0,4,0%,39
Kenya,0,4,0%,39.5
Morocco,0,4,0%,53
Czechia,0,3,0%,19.33
Ghana,0,3,0%,20
Portugal,0,3,0%,24.67
Oman,0,3,0%,32
Bosnia & Herzegovina,0,3,0%,34.67
Bulgaria,0,3,0%,46.33
Belarus,0,3,0%,47.67
Iraq,0,3,0%,50.33
Sri Lanka,0,2,0%,2.5
China,0,2,0%,3
Austria,0,2,0%,7
Venezuela,0,2,0%,7.5
Puerto Rico,0,2,0%,8.5
Tunisia,0,2,0%,10.5
Uruguay,0,2,0%,24.5
Jordan,0,2,0%,27
Denmark,0,2,0%,44.5
Côte d’Ivoire,0,2,0%,51.5
Kuwait,0,2,0%,56.5
Kazakhstan,0,2,0%,57
Chile,0,2,0%,81
Algeria,0,2,0%,91
Moldova,0,2,0%,91.5
Trinidad & Tobago,0,1,0%,1
Panama,0,1,0%,3
Kyrgyzstan,0,1,0%,6
Lebanon,0,1,0%,6
Uzbekistan,0,1,0%,6
Finland,0,1,0%,7
Qatar,0,1,0%,7
Jamaica,0,1,0%,9
Cambodia,0,1,0%,10
Kosovo,0,1,0%,10
Armenia,0,1,0%,11
Slovenia,0,1,0%,11
Antigua & Barbuda,0,1,0%,12
Estonia,0,1,0%,12
Uganda,0,1,0%,13
Iceland,0,1,0%,30
Grenada,0,1,0%,36
Belgium,0,1,0%,37
Angola,0,1,0%,41
Paraguay,0,1,0%,42
Slovakia,0,1,0%,46
Cyprus,0,1,0%,49
Barbados,0,1,0%,53
Israel,0,1,0%,53
Bahamas,0,1,0%,58
Maldives,0,1,0%,63
Lithuania,0,1,0%,80
Latvia,0,1,0%,82
Guyana,0,1,0%,86
Namibia,0,1,0%,87
Rwanda,0,1,0%,100
